theta,item,info,a,b,c
-4.7,IRPM.444,0.0005699719116869903,1.16807,-0.9069,0.24
-4.7,IRPM.496,0.00043982795768273135,1.1968,-0.865,0.24
-4.7,IRPM.232,0.00021510689054762247,1.09633,-0.2606,0.24
-4.7,IRPM.489,0.0001430735381746986,1.3192,-0.71,0.24
-4.7,IRPM.269,0.00014161564106779557,1.32328,-0.716,0.24
-4.7,IRPM.376,0.00011882258255517628,1.51538,-1.0716,0.24
-4.7,IRPM.99,0.00008600994187253935,1.46846,-0.866,0.24
-4.7,IRPM.439,0.00006836923870274611,1.17623,-0.0056,0.24
-4.7,IRPM.85,0.00008177173178542288,1.49583,-0.9066,0.24
-4.7,IRPM.129,0.00006154205847304184,1.12557,0.2134,0.24
-4.7,IRPM.156,0.00006978672996906467,1.43293,-0.7145,0.24
-4.7,IRPM.59,0.0000601912675769139,1.42511,-0.6441,0.24
-4.7,IRPM.354,0.0000640160024490557,1.67093,-1.1633,0.24
-4.7,IRPM.143,0.000051657069919448686,1.3243,-0.333,0.24
-4.7,IRPM.307,0.00004049901181420095,1.2631,-0.062,0.24
-4.7,IRPM.503,0.000036044280579805276,1.14648,0.3758,0.24
-4.7,IRPM.286,0.00003697994059311653,1.258,-0.01,0.24
-4.7,IRPM.465,0.00003847168989437435,1.34198,-0.2698,0.24
-4.7,IRPM.196,0.00003826751650748442,1.37751,-0.363,0.24
-4.7,IRPM.145,0.00003521505552437427,1.47815,-0.5819,0.24
-4.7,IRPM.429,0.000035784566449460114,1.5878,-0.826,0.24
-4.7,IRPM.488,0.00003595386269839843,1.73706,-1.1082,0.24
-4.7,IRPM.226,0.00002328514962382404,1.12217,0.6628,0.24
-4.7,IRPM.32,0.000026847402331973773,1.40777,-0.3139,0.24
-4.7,IRPM.477,0.000024198544875451095,1.32804,-0.0554,0.24
-4.7,IRPM.401,0.00002453169465324455,1.40267,-0.2682,0.24
-4.7,IRPM.482,0.00002016115888882596,1.24338,0.2814,0.24
-4.7,IRPM.207,0.00002150852953685704,1.36238,-0.1101,0.24
-4.7,IRPM.176,0.000023053652781447848,1.49719,-0.4833,0.24
-4.7,IRPM.103,0.00002271137198181027,1.53085,-0.5565,0.24
-4.7,IRPM.268,0.000020630009362406474,1.428,-0.2732,0.24
-4.7,IRPM.212,0.000020643991905630713,1.43616,-0.2946,0.24
-4.7,IRPM.43,0.000019200896319468014,1.33926,-0.0011,0.24
-4.7,IRPM.4,0.000022678873062192313,1.64373,-0.7971,0.24
-4.7,IRPM.393,0.000022527822172214356,1.6456,-0.7988,0.24
-4.7,IRPM.101,0.00001536987580456784,1.04312,1.1992,0.24
-4.7,IRPM.73,0.000020394011436527837,1.54972,-0.5641,0.24
-4.7,IRPM.410,0.0000184362146007951,1.48172,-0.3705,0.24
-4.7,IRPM.276,0.000015555845052058676,1.3107,0.1655,0.24
-4.7,IRPM.159,0.00001853428583356953,1.60854,-0.6622,0.24
-4.7,IRPM.404,0.000017399702286942447,1.53646,-0.4821,0.24
-4.7,IRPM.249,0.00001873390275229215,1.72499,-0.8972,0.24
-4.7,IRPM.125,0.000016390077237435374,1.57862,-0.5585,0.24
-4.7,IRPM.355,0.000015874892470414134,1.54496,-0.4719,0.24
-4.7,IRPM.3,0.000017646103951475368,1.73706,-0.9023,0.24
-4.7,IRPM.146,0.000013381760026644013,1.35507,0.0867,0.24
-4.7,IRPM.436,0.000014039178357080157,1.48274,-0.2807,0.24
-4.7,IRPM.116,0.00001178231533463799,1.20683,0.6312,0.24
-4.7,IRPM.8,0.000015764710551340666,1.72006,-0.8376,0.24
-4.7,IRPM.204,0.00001326538696721543,1.52405,-0.3637,0.24
-4.7,IRPM.106,0.000012201542914834489,1.39519,0.0033,0.24
-4.7,IRPM.309,0.000014526650454089033,1.7102,-0.7947,0.24
-4.7,IRPM.375,0.000014729812145574235,1.73383,-0.844,0.24
-4.7,IRPM.491,0.00001339931417077166,1.61602,-0.5772,0.24
-4.7,IRPM.399,0.000010082179924560908,1.16433,0.8621,0.24
-4.7,IRPM.394,0.000011538837771295247,1.44517,-0.1155,0.24
-4.7,IRPM.18,0.000009360348047070524,1.1815,0.8253,0.24
-4.7,IRPM.83,0.00001112782113124086,1.48733,-0.2138,0.24
-4.7,IRPM.412,0.000011060536248807597,1.48614,-0.2087,0.24
-4.7,IRPM.235,0.000011474012119132089,1.58695,-0.4641,0.24
-4.7,IRPM.475,0.00000935058575202501,1.2818,0.4572,0.24
-4.7,IRPM.20,0.000010839671032719,1.5997,-0.475,0.24
-4.7,IRPM.246,0.000010273293533382264,1.60803,-0.4769,0.24
-4.7,IRPM.183,0.000009796714101748429,1.55584,-0.3412,0.24
-4.7,IRPM.48,0.000010309543884248725,1.6422,-0.553,0.24
-4.7,IRPM.347,0.000008366493375792994,1.47237,-0.0779,0.24
-4.7,IRPM.108,0.000009525675031489001,1.70357,-0.6575,0.24
-4.7,IRPM.227,0.000008123799960151066,1.55295,-0.2738,0.24
-4.7,IRPM.185,0.0000069434960090139006,1.3073,0.486,0.24
-4.7,IRPM.208,0.000008690784965818643,1.69592,-0.6148,0.24
-4.7,IRPM.214,0.000006669808045896251,1.28248,0.5871,0.24
-4.7,IRPM.405,0.000007448156226233588,1.4756,-0.047,0.24
-4.7,IRPM.287,0.00000750367248143996,1.50042,-0.1153,0.24
-4.7,IRPM.349,0.000007486996959629769,1.50059,-0.115,0.24
-4.7,IRPM.368,0.000008814338551873687,1.80999,-0.8401,0.24
-4.7,IRPM.392,0.000007883704867040946,1.64951,-0.4871,0.24
-4.7,IRPM.339,0.000007121404640345337,1.57165,-0.2768,0.24
-4.7,IRPM.501,0.000006196189121215157,1.36493,0.3406,0.24
-4.7,IRPM.435,0.0000069567000683497014,1.63319,-0.4127,0.24
-4.7,IRPM.258,0.000006722388649636184,1.5929,-0.3092,0.24
-4.7,IRPM.30,0.0000057872298645267064,1.34334,0.4352,0.24
-4.7,IRPM.247,0.000006542908324518365,1.6014,-0.3207,0.24
-4.7,IRPM.316,0.000006876919680787064,1.73893,-0.6339,0.24
-4.7,IRPM.472,0.000005315363852456126,1.39808,0.2933,0.24
-4.7,IRPM.161,0.000005087789164107325,1.38142,0.3607,0.24
-4.7,IRPM.500,0.0000056387708833663905,1.632,-0.3455,0.24
-4.7,IRPM.192,0.0000052193483683915845,1.50722,-0.0122,0.24
-4.7,IRPM.506,0.000006129861434953046,1.83158,-0.7797,0.24
-4.7,IRPM.55,0.000004585756008421007,1.4586,0.166,0.24
-4.7,IRPM.275,0.000005062660888161871,1.71768,-0.5014,0.24
